Class,Sequence,Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
0,0,8.948792073,7.855306322,10.87266055,6.849002328,87.12723001,92.03274891,178.9441673,179.4182927
0,0,8.476533426,7.381664453,9.833594339,7.146231816,87.3393978,91.77333858,179.2744258,179.4707775
0,0,7.74714436,7.181773714,8.165243887,6.940845871,87.6679538,91.51560508,179.3994145,179.2947312
0,0,7.462226654,6.623703407,7.898426227,6.441985871,87.03692798,92.29430075,179.5122754,178.686829
0,0,7.863884126,6.098081474,15.19752528,5.208136747,87.38024392,91.96179028,179.5126833,178.5303844
0,0,7.84998621,6.037516779,17.33646167,5.856787756,87.38056384,91.97037519,179.6221712,178.5707031
0,0,8.554935026,5.897996649,20.63543726,6.747300212,87.68866048,91.46805503,179.5644982,178.7772558
0,0,10.35734067,5.700937348,24.98359977,8.786106868,87.75705178,91.45874474,179.7044544,178.8578411
0,0,10.35811283,6.563127643,25.64560732,13.66390524,87.97738887,91.15181108,179.6044761,178.6280856
0,0,9.842090065,6.562197513,23.75286868,14.81612876,89.6514162,89.50274277,179.4942267,178.5299404
0,0,20.06860235,13.88056867,36.35147603,29.69624522,92.4833026,86.36990467,177.6763132,179.6081995
0,0,19.67482778,15.48643764,50.46418402,37.47316057,91.32821515,87.5572173,177.9609249,179.6193187
0,0,17.88409569,16.1165257,56.13761942,41.12358522,91.06900497,87.85280167,178.2746148,179.5724249
0,0,17.83397572,15.93756655,54.73241881,56.26570519,90.9010011,88.13882407,178.3077476,179.8533577
3,180,13.59835963,16.47586894,152.2003291,103.0508993,90.80115087,88.34921817,178.369582,179.99575
3,180,11.02184185,16.01092315,170.261035,149.9566545,90.70029597,88.50722924,178.5919307,179.8574613
3,180,9.57183631,13.48348768,179.5573265,167.6562347,90.35519387,88.90297079,179.5698891,179.9458604
3,180,9.165570098,12.48209385,168.7162026,175.0331217,91.33280283,87.86598785,179.621434,179.4319477
3,180,9.013607166,12.12246961,164.191293,176.5569313,91.38852299,87.72841065,179.5405153,179.5808457
3,180,8.844508747,10.8336521,164.2061532,178.7552102,90.12207612,88.89178315,179.5194172,178.6657984
3,180,8.320034195,10.39235492,163.3207877,177.4726526,89.78965967,89.20569836,179.9194613,178.5728428
3,180,8.329931205,10.17373873,163.717863,176.6216005,89.19391273,89.7541423,179.5011575,178.6720728
3,180,8.427303627,8.970714812,165.8850175,174.4312259,90.33764137,88.67366529,179.2364875,177.913342
3,180,8.658978113,8.772405741,165.7750197,172.787358,89.71666301,89.5732123,178.6428536,176.7663437
3,180,8.736431324,8.707274628,165.6761499,172.5001536,89.5317532,89.74541162,178.3487878,175.929745
3,180,9.087841408,8.74848337,166.6473803,173.5631209,89.53471591,89.59957341,178.2857351,175.7378016
3,180,9.057848981,8.651428699,167.247942,173.989529,89.39645922,89.60830788,178.1152679,175.7684365
3,180,8.883986652,8.606141725,167.8796002,174.2421827,88.95212889,89.89754956,178.0488762,175.7289913
3,180,8.921339327,8.561782,167.7216931,174.2887393,89.19208191,89.62237153,178.3622157,175.6033563
3,180,8.885191116,8.373598798,167.3812175,174.2371195,89.51848108,89.22202217,178.6413781,176.5507427
3,180,8.768314751,8.299511818,167.0361468,173.9930762,89.55689205,89.08945676,178.5429772,176.5414003
3,180,8.601588384,8.389916558,166.2153382,174.2309094,89.83318837,88.703217,178.4983746,176.5947913
3,180,7.516446121,8.976175983,162.5720447,174.650266,89.40856605,89.41692657,178.7459299,177.2141814
3,180,6.774842453,9.100006756,160.3029078,174.4486578,88.67146713,90.34038416,179.0474871,177.5882786
3,180,6.093011199,9.240412016,156.8514344,174.4190724,88.66144091,90.37356195,179.0636618,178.1797004
3,180,6.519847754,8.427033776,177.2487534,178.075921,91.62820952,87.58214482,179.405091,178.9840491
3,180,6.365504907,7.976076095,171.071199,166.6109824,94.51312415,84.97672409,179.507319,178.580537
3,180,6.52206897,8.107495205,169.2707392,164.1437512,94.19834307,85.50000435,179.3316637,178.7685917
3,180,6.827597879,9.977395186,176.44419,178.527669,94.01040104,85.8261195,179.2834183,179.1202213
0,2,8.374116476,11.97775466,55.59658596,149.0570274,93.68779887,86.27393797,179.5769861,179.6380063
0,2,13.72268717,13.12400485,52.69817129,64.21904563,93.0905865,86.7851538,179.889381,179.6953078
0,2,17.2941052,11.89504314,45.33544596,61.99106887,92.95009208,86.79327715,179.6364881,179.3905851
0,2,13.80420574,10.73058941,22.24950619,17.53646992,93.59856039,86.17112777,179.7685284,179.6651582
0,2,12.09070081,10.20662566,16.56703999,15.6068431,91.48550417,88.18181581,179.4703784,179.4147319
0,2,30.43689846,9.546358299,34.0050642,16.1456356,88.61096483,91.18953991,179.9933802,179.718118
3,2,17.09034322,7.430252777,27.89134778,11.12338261,86.15121289,93.85419387,179.9761294,179.6518927
0,2,10.8430842,7.117901913,13.12395838,8.555435158,86.87283721,93.04424786,179.8288393,179.7748794
0,2,9.329832528,7.183912719,7.985086566,7.678563488,86.96900083,92.95566953,179.800266,179.7440466
0,2,8.563547399,7.199422473,5.323391975,5.843450783,85.71472655,94.23507116,179.944569,179.8742947
0,2,7.572044098,7.27808285,4.017343184,6.37216281,86.17114734,93.71841726,179.9467699,179.7111885
0,2,6.886387444,7.46287566,3.849242008,7.124395164,86.42907929,93.33989009,179.7351157,179.7783811
0,2,6.861419565,7.496930741,4.050938676,7.034211283,86.8497825,92.7942358,179.4967847,179.9613415
0,2,6.74378823,7.354729457,4.200039198,7.291866124,86.86531993,92.71450249,179.3476109,179.969904
0,2,6.673853105,7.203837577,5.164219876,7.745403046,86.99451469,92.48943473,179.3495017,179.5616545
0,2,6.720180408,7.173932699,5.749462004,7.84308229,86.97035879,92.40319154,179.1371225,179.4352391
0,2,6.892034015,7.188259839,6.058039922,7.832764998,87.05248882,92.14037758,178.2597107,179.3249557
0,2,7.172062922,7.431233671,6.522543269,7.587472612,87.19266277,92.02414123,178.178414,179.3540824
0,2,7.20805132,7.380475998,6.602488782,7.568463073,87.75031337,91.47288402,178.1755392,179.3864353
0,2,7.119654012,7.152285643,6.677269913,7.163029747,87.58426773,91.61366459,178.2727741,179.3493416
0,2,7.114754773,6.998977983,7.021487431,6.868179382,87.52450988,91.65367638,178.2551137,179.3175444
0,2,7.494218276,6.612248529,13.81199905,10.16902497,87.28775918,91.91926324,178.4894541,179.644649
0,2,8.190661368,9.191161723,20.9792988,17.1139854,87.97177091,91.25804118,178.6950951,179.5357114
0,2,8.625598247,8.564752209,20.3564223,15.8680905,89.6046682,89.57960192,179.4485878,179.4245328
0,2,10.72632262,8.078228223,23.77666989,17.33235316,90.2364872,88.95009929,179.4733887,179.3588306
0,2,11.11971776,7.674457715,24.41359626,17.30345262,91.41956692,87.91106217,179.2101223,179.2801218
0,2,11.34468968,7.397256812,21.37383877,18.88576655,91.80614205,87.57951167,179.1116649,179.1828533
0,2,13.46473513,9.074145758,42.69368702,34.19043353,91.41215316,87.83722754,179.0932502,179.52902
0,2,12.7344452,10.70633953,48.01630599,43.09800016,91.44113216,87.9229313,179.5410984,179.7826715
