Class,Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
0,49.15173205,92.24501297,81.17895906,8.942641838,5.982324194,175.0091148,57.68931662,46.03632604
0,49.20280349,92.25739308,81.17403815,8.973714128,5.805217438,175.3784913,57.41452941,45.6364906
0,49.39820556,92.31608887,81.21702238,9.083445589,5.724406611,175.5086819,57.14520797,45.56777892
0,49.79121058,92.39354742,81.27133143,9.069803844,5.673847665,175.595065,57.03335156,45.53286102
0,49.9104394,92.42524064,81.19279157,8.988525793,5.41268277,175.7429714,56.99666354,45.52537371
0,50.18230242,92.51375694,81.29516789,8.835727818,5.083161309,175.5985235,57.24257716,45.61822934
0,50.79764048,92.74860738,81.27980309,8.897580519,5.154336279,174.8709571,58.18604459,45.7473745
0,51.98868885,92.96980731,81.2049762,9.512863649,5.234073861,173.4297765,61.8161395,47.14502491
0,52.88018195,93.30677145,82.06330233,9.815253217,4.796836637,171.1509424,65.45499795,49.28739239
0,55.03977527,94.40059006,82.20848372,11.60519217,2.747563593,170.9753286,68.50979258,50.12959532
0,56.35553055,95.70278426,81.95794371,12.59200776,0.768745756,173.2446089,70.72664645,51.64039994
0,56.75260344,97.19070126,81.04476141,13.93303391,3.110107252,174.5340326,73.46604011,53.61959668
0,56.0002619,93.61311787,81.39836046,13.85290662,4.851004763,176.7120407,75.16043662,54.62971529
0,55.95741178,94.34060855,81.76819542,13.73026496,8.549288913,179.2035581,77.31381389,56.42005814
0,56.05126692,94.16770209,81.3830625,14.30748285,10.53316437,177.6358514,78.85327003,57.86675997
0,56.27523383,94.82703586,82.58365869,14.94831415,12.98377627,175.403721,80.98144607,60.26198549
0,55.56678156,95.76372595,83.26965932,14.57491307,17.56290711,171.585667,84.59149903,63.24331948
0,53.4905202,94.25689233,82.85308481,14.19406497,21.18875553,169.3999505,88.46366608,65.66858308
0,53.27395252,94.31503265,83.05701487,13.59748242,24.88020402,166.8198055,91.97444247,68.50581832
0,54.16216677,94.37885906,83.14712997,14.21636755,31.8343239,161.8865762,99.62027105,74.54608201
0,52.84967591,93.37228195,81.58106965,14.86459076,35.52029136,159.546856,104.465453,77.14008957
0,51.63028815,92.89762776,81.96267625,15.49570353,38.06712398,157.8741858,106.0182362,78.19995517
0,50.24921945,92.05618897,82.01219139,16.84952978,40.85268081,156.0614813,109.7189542,81.49240605
0,48.87562211,90.24192516,83.07807553,17.31356392,43.81716807,155.0728379,114.0234635,83.20577248
0,47.48639334,87.56306734,82.41242752,15.75073059,46.18853875,152.8394936,115.8819789,85.69211728
0,47.04111338,85.71620825,82.23663311,15.78870353,47.8250736,151.4232341,118.0195305,87.3867141
0,46.2230215,83.07304913,82.28645829,15.70490292,51.5648175,148.8639957,123.5569909,89.53060939
0,44.82485413,80.71277362,82.73732211,15.79536169,56.01284232,146.2585866,129.2523262,92.94145872
0,42.89519824,76.89598463,81.9118754,15.13570462,58.55978631,144.4451897,132.1614301,96.58791644
0,40.63572738,73.52057463,80.87261291,15.27020225,61.771767,142.6401722,136.492111,99.26551177
0,37.94561113,70.77559631,79.79747668,15.81030628,63.43820891,140.4506629,137.5174425,102.7917447
0,34.48959685,69.0097893,77.49817391,15.28138836,65.77878511,136.8349653,139.4303804,108.5570777
0,33.75201627,66.6807198,76.80830098,15.46637439,66.58790848,134.2895483,140.3006157,111.3840272
0,32.94356129,64.24153979,77.01703818,16.13275113,67.37335304,132.9071307,141.6034802,113.6770889
0,32.41911484,60.29967233,78.25961513,17.9243069,67.73041615,130.0740031,143.0114353,118.0084221
0,29.38570459,57.29886815,76.82233939,13.60988543,68.80227873,128.8290838,145.8510895,121.1619581
0,28.1779479,53.63998738,76.87685667,12.0549144,69.93995227,126.7852631,147.4124536,125.3326694
0,25.5988329,50.81038014,76.23140696,11.87852988,73.41221402,124.5796696,152.6268145,128.8615908
0,23.76635751,49.76852407,74.20083438,11.90790232,77.47346854,122.0253366,160.1062162,134.273414
0,22.92757728,48.15734798,74.5195311,10.40247696,80.0593728,119.5180721,164.5906396,140.0794061
