Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 01.mp4,169.06912357979505,165.23106732308744,177.0083772572287,174.7920612923649,94.90143087953872,87.14864589777157,175.08042203096826,160.83682858760594
Nested Sequence 01.mp4,168.65693244405097,164.9835881262257,176.0263316513536,174.049159669095,94.46959288068432,87.88370633787966,175.23546518367652,160.100668781826
Nested Sequence 01.mp4,168.27290572547545,165.03267348871287,175.76011488995604,173.55917836627307,93.98343472401724,88.39729578703115,175.71289799967442,161.12158549266414
Nested Sequence 01.mp4,169.2702952871194,164.5583268954779,173.49283704883646,171.94336249068198,93.97049550629434,88.5963204265556,176.56640604090998,159.94603687671489
Nested Sequence 01.mp4,169.45090862268825,164.4775819156021,173.24207228651537,170.56249661451508,93.79105851504825,88.83026387212122,178.41971962808356,159.34878021887684
Nested Sequence 01.mp4,169.82592056788963,164.8231053604218,172.92841231994922,170.09221994951798,93.31734828409137,89.51902521999385,179.58318976295183,158.43639578111703
Nested Sequence 01.mp4,170.1798307622207,165.22335720674366,172.6982706675961,169.8587104066216,92.58082105208713,90.14966798134411,178.14889932850946,154.633308735806
Nested Sequence 01.mp4,170.30729936419004,165.7339088038683,172.69504131103855,169.56545004688434,91.589245673191,90.50957353898605,176.76197713971567,154.4124255786658
Nested Sequence 01.mp4,169.7757173382693,165.82275271945716,173.28673818679178,169.5760236101342,90.72290175074714,90.6745658925875,175.5766114450814,154.34618734516297
Nested Sequence 01.mp4,169.6789966434533,166.2209343955077,172.7448803068268,169.7087502098695,90.49185118472067,91.09599065743977,175.95431669949528,155.23984129301263
Nested Sequence 01.mp4,169.5091380000403,166.65830765367738,173.0683044835837,169.70440162565095,90.45873906188413,91.41441975301689,176.02460453976434,154.9124734811642
Nested Sequence 01.mp4,169.44377378094498,166.57819029659873,172.96035806743333,169.25329137702505,90.2416972297645,91.91369975505681,176.096242337491,154.27913774725184
Nested Sequence 01.mp4,169.05421022557,166.36301200683363,173.32245966113553,168.94829764787835,90.47543754033408,91.86828909146406,176.0878381858478,154.1330029471672
Nested Sequence 01.mp4,169.0003547280136,166.06985218856912,173.21135743604552,168.27006653645697,90.59334750003296,92.14383839170712,176.03796736295104,154.55473497798775
Nested Sequence 01.mp4,168.79167091559424,165.70658703700298,173.26469941242482,167.5235567861074,91.0425210785878,91.82929735106752,175.93047452737258,154.53266334471357
Nested Sequence 01.mp4,168.47414682892224,165.415600625604,173.38101872616193,167.06813991972626,91.49386875178887,91.4687845300356,176.38175832042756,154.8534583391635
Nested Sequence 01.mp4,167.85335389240254,165.34125778018776,173.92965784532072,167.13384827764415,92.02961102617792,91.04477050801397,176.9347744506471,155.88931015771826
Nested Sequence 01.mp4,167.6116218366712,165.4896605595099,174.85145534186134,167.30800167734486,92.02251034322822,90.6332939704147,177.09953420448647,157.3242922420987
Nested Sequence 01.mp4,167.92299896321862,165.77422025922976,174.58102169229548,167.38623087825243,91.93872335721731,90.54811019261392,176.8313926031411,157.94371431806687
Nested Sequence 01.mp4,167.97335318335473,166.11741937891614,173.80190972392367,166.9524088158453,91.9181811443644,90.5271666944701,176.87173773547298,158.0947821439905
Nested Sequence 01.mp4,167.97424227109116,166.59320116020524,173.4245081536869,166.12409115107965,92.22010908705157,90.02112396068574,177.23896881614994,159.05169356386597
Nested Sequence 01.mp4,167.84543860637203,166.9069931537913,173.66732969782024,165.55981263140356,90.57925698983071,90.11004120412811,173.82288066026078,160.7129278103442
Nested Sequence 01.mp4,168.00446186100962,166.8596589875559,173.49232222186635,164.10952351315206,89.200525281461,90.35060295761822,170.0058321914578,161.86783488662726
Nested Sequence 01.mp4,168.40544281632788,166.94262177584258,173.5661681421722,163.43755929364133,89.0496648625528,90.80379252666384,169.05138661570268,163.27757254247356
Nested Sequence 01.mp4,169.55082493379695,168.02252200007325,175.0428855589928,164.67815239312222,88.99410724164423,90.73278395189787,168.93262380893458,163.02100935644677
Nested Sequence 01.mp4,169.0386468942556,168.66340555799565,176.4822194074255,165.15489775163994,89.23501566339414,90.75977203239052,169.721104572363,159.33760553416923
Nested Sequence 01.mp4,169.19322448590677,169.23142833436594,177.3042461199661,165.3455302264519,89.44267543116679,90.72789713164504,170.88581294117813,157.5104827533757
Nested Sequence 01.mp4,168.79708653201902,169.84955227407724,178.60956769007674,166.02340656610122,90.25643669227034,90.34684524614774,172.54085136645128,156.8125483236153
Nested Sequence 01.mp4,169.06041801030227,171.03954675355163,178.00367759519332,166.92156731924604,91.14673137341883,89.97654333725812,174.34576397963392,158.72244593674696
Nested Sequence 01.mp4,169.05124975967715,172.1056268481942,178.0298321492348,167.1840129531499,92.06885063854929,90.05448267463792,175.29217488381576,160.9775605521787
Nested Sequence 01.mp4,168.85929013932056,173.26631235423102,178.77976266045138,167.81834032968052,93.0808924810998,90.40640261207018,172.90792463562684,164.35855307241732
Nested Sequence 01.mp4,168.86631211513048,173.53000703546965,178.72817968383615,167.83043530930797,93.44199545974577,90.47960412219047,168.66929452868453,164.42020018887555
Nested Sequence 01.mp4,169.4708480441811,172.64312546548675,178.5788377240947,166.74148745485743,93.15249184370948,90.83087709098946,168.4225727405003,164.73321313656615
Nested Sequence 01.mp4,169.72133671442788,171.90825252446228,178.75459127680824,165.21073160438473,94.20806553839165,90.78840577874114,170.00633898422996,163.305301509408
Nested Sequence 01.mp4,170.7412724161014,170.68960012681035,178.29305915936493,163.33424583132324,94.02060333145191,89.89240187212927,170.50177287509345,159.1700147982923
Nested Sequence 01.mp4,171.83676328425588,170.60444746535612,177.77356981357755,164.7640947894266,93.97084389073395,89.20598754233033,175.81612602788286,158.64290561733284
Nested Sequence 01.mp4,175.6774371478625,170.31162259461166,173.6651913581769,164.86794117757856,94.04537273164978,88.61362126123353,176.20159564868874,160.36215343610064
Nested Sequence 01.mp4,179.09189674055258,168.365080970973,169.13656248831464,163.29489296166506,94.0041144682483,88.30018213988217,176.45834325565193,159.4174947712431
Nested Sequence 01.mp4,176.8394063122128,166.90350066832033,162.35438500668485,164.24864077813479,94.22652591532719,88.28672977835558,179.7996069727915,159.95632234635724
Nested Sequence 01.mp4,170.46109818438632,166.29287300214457,154.33257282238463,161.4182933920148,93.62835590407468,89.35599455453877,178.1996891937567,164.55989750939608
Nested Sequence 01.mp4,165.3793689077106,163.41911194638254,146.57016214263334,156.96279423068725,92.47853456147973,90.12656949304436,177.72476633143899,166.37701525416693
Nested Sequence 01.mp4,161.993724095962,161.8446596627119,143.1658002728373,153.19716897075133,92.93244176763349,90.1480663392072,179.01805075114711,165.2543893751435
Nested Sequence 01.mp4,158.20093873756673,160.98121155143895,137.9553613734069,149.32827517384325,93.46094684248061,89.80623156426043,176.20821837072546,165.39168311316277
