Class,Sequence,distance_11_13,distance_12_14,distance_23_11,distance_24_12,distance_25_23,distance_26_24,distance_27_25,distance_28_26,distance_11_12,distance_13_14,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
0,0,0.10913255,0.105354791,0.187374352,0.155101065,0.143897149,0.122504108,0.144977107,0.138129578,0.140267842,0.162067018,162.4463677,176.4372912,7.540239883,41.06742592,158.5506258,164.4328774,166.3515667,141.714734
0,0,0.109026959,0.1113415,0.186127576,0.158471021,0.140540485,0.121614518,0.14517728,0.143547972,0.139110045,0.1717008,159.3744666,177.90006,11.4803344,48.50979146,159.7842345,166.0482737,165.7996244,147.3551201
0,0,0.110123733,0.118900277,0.185772231,0.158031862,0.140959167,0.118988175,0.145907082,0.147853872,0.138526958,0.175729191,153.6683258,179.5473891,17.90433361,55.29478834,162.8397471,166.6265951,160.7709532,148.7788379
0,0,0.112304904,0.122523976,0.186347287,0.161794355,0.142200652,0.123325519,0.152760419,0.161762101,0.136936079,0.17116054,151.8152018,176.4671317,24.79154789,64.23765572,166.4903224,155.0019229,153.6976306,142.1645724
0,0,0.114549696,0.124570913,0.185357204,0.166414364,0.1424886,0.120374585,0.14846366,0.16559257,0.132580956,0.16108526,156.2988075,174.4176192,33.09858152,71.31809692,166.6419049,156.8895038,156.3447978,144.7112228
0,0,0.121436279,0.126783704,0.185352575,0.167048051,0.144836832,0.111525431,0.148973696,0.129198637,0.128506407,0.14426271,161.538966,172.0528375,43.08015654,74.80007762,158.9533431,123.8261045,165.4854163,157.1252351
0,0,0.124703134,0.131627615,0.185258576,0.16866535,0.145760487,0.118579822,0.143781756,0.139720634,0.123588482,0.132687481,169.6642088,171.2797223,55.42328864,77.48457159,158.2535694,154.7403138,170.7864484,157.2523769
0,0,0.127292374,0.144610969,0.185168263,0.170518986,0.146457174,0.132396775,0.145210113,0.14901652,0.122453962,0.140450975,173.021962,171.4332558,62.86850971,81.0104739,159.3028655,158.1238025,169.9100887,148.34612
0,0,0.132576695,0.155002034,0.186895115,0.173266441,0.147235068,0.136810026,0.147199692,0.146766002,0.119575346,0.140885777,175.8151687,169.6871193,71.0549421,81.87918523,160.5433341,161.0676873,167.6494065,155.4554684
0,0,0.120409371,0.15387107,0.18703647,0.172462236,0.146063193,0.135702952,0.147388959,0.139060655,0.116048403,0.148872552,176.7641233,167.3639669,75.07809134,81.52372616,161.8915375,162.9475846,166.9278421,165.4845909
0,0,0.136097531,0.167455688,0.186666553,0.171066405,0.145765904,0.137885811,0.147357792,0.134884758,0.11413953,0.14520631,171.6609511,160.510189,75.11691369,83.57591809,162.4606191,165.1713322,164.6739896,169.8487349
0,0,0.117826414,0.167559366,0.188113585,0.170567225,0.145216689,0.139136131,0.144553709,0.13692107,0.113843097,0.168861731,171.1302924,168.3162158,87.33632493,83.90686769,163.3886977,168.3196176,164.1561613,163.6323195
0,0,0.10828639,0.156863185,0.187635818,0.170006635,0.144996224,0.139195349,0.142864223,0.136363286,0.116434509,0.166901385,179.6780023,174.0598729,85.32569495,89.79046058,163.080711,168.9186543,164.4607722,168.2492273
0,0,0.093861398,0.149950345,0.18895608,0.175475052,0.145005498,0.139078258,0.140386339,0.138510482,0.121270193,0.180760895,168.1443618,175.6308082,94.50951074,97.69355918,162.5534114,168.4825686,166.438815,163.9166508
0,0,0.097568296,0.152269667,0.188928991,0.178814427,0.146254449,0.139372223,0.139245111,0.138191323,0.126142916,0.18874486,166.0042501,173.9710208,101.5345387,99.95539384,161.2232589,167.5060455,168.6837375,164.4907648
0,0,0.098616859,0.15440909,0.188047508,0.17756045,0.14757973,0.13780778,0.137102891,0.137887862,0.128021,0.195403307,163.2117649,174.6087617,105.9364329,101.4113958,159.159337,167.0781671,172.4862323,170.4934496
0,0,0.100725453,0.152624461,0.188094008,0.17698813,0.148229319,0.138183455,0.136038881,0.137766936,0.128159003,0.195684562,162.2261813,172.3160022,108.8680287,101.3719222,158.3083032,166.6365673,173.7741424,169.7278408
0,0,0.104427599,0.15258203,0.18775769,0.172628666,0.147914122,0.140703696,0.134286331,0.136434823,0.129460589,0.19526741,162.961993,173.0764426,110.0881541,103.07871,156.9053952,166.6152121,174.4473962,168.1229814
0,0,0.109441,0.154283261,0.187664669,0.170904972,0.147152037,0.141630084,0.134241225,0.137360091,0.131165277,0.19359587,164.526163,174.4313354,109.7754172,105.156488,155.8483903,166.578571,174.7601384,164.650021
0,0,0.111696892,0.15440533,0.187185846,0.169263755,0.144793037,0.14195331,0.135962183,0.136105356,0.132189751,0.193430413,164.2724194,174.5146287,110.7849403,106.6515827,156.7974721,166.8407442,171.8095282,169.7116676
0,0,0.112305825,0.155003978,0.185368012,0.1652237,0.143950616,0.143497736,0.135899278,0.137758261,0.133600716,0.192011586,168.2320175,174.3709885,108.520243,106.7181482,155.9741582,168.699159,171.6348518,172.7847865
0,0,0.115481442,0.154812125,0.183018004,0.157054913,0.147551387,0.124783985,0.124549252,0.168552472,0.135178137,0.18850807,170.628534,174.6348847,106.4893672,106.8356771,154.7133309,110.5955673,175.2953079,173.1240973
0,0,0.116015008,0.154181214,0.184376235,0.153413807,0.146749026,0.17521303,0.117738616,0.205490719,0.135939762,0.184567663,176.9088228,173.2298196,102.2363996,105.6946792,153.9754909,79.7695924,178.2401986,177.4732995
0,0,0.115153352,0.154561404,0.185415397,0.151175672,0.147724476,0.215618717,0.119499115,0.192852939,0.137342082,0.184234684,178.932755,172.9417103,98.88532595,104.8279856,153.1007393,64.49971295,178.4995366,150.3594862
