Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 01.mp4,20.953638903978387,47.79799386145617,153.25024168927098,167.56121644050845,97.41982272252454,83.06599912128652,155.34311813389007,128.27672657087703
Nested Sequence 01.mp4,25.149427308055827,54.132883659498475,152.39031586670876,167.22716806435565,101.89975681725309,82.47910308257974,148.04942448034154,126.76512894542631
Nested Sequence 01.mp4,29.43460730160125,61.00760584894688,153.4472079428287,169.31417710331635,104.89149641280846,85.00562401201938,148.29256499292956,144.3963587469043
Nested Sequence 01.mp4,35.29542112048902,68.10681884909472,155.28443003645205,170.9610756542451,108.90658619211231,82.33517754402584,145.52535101159694,143.0610697159671
Nested Sequence 01.mp4,40.15863940373819,73.81593379941368,154.36394313457575,172.5788422500288,109.36812444172284,87.00543006078465,145.6240604537842,137.31747681165348
Nested Sequence 01.mp4,45.97980097520406,78.94818420224841,155.56120007894344,178.03222957459818,108.03253116250539,85.56312868716988,148.40109972509143,137.38707975563577
Nested Sequence 01.mp4,49.61865899131855,84.67203812839269,154.57606141445277,178.98253577739203,111.08777846375213,79.09738356746043,142.93494642281306,129.25186094238333
Nested Sequence 01.mp4,52.803887182861445,91.92252578733635,155.5313920561297,175.1283134417475,112.57963015822651,83.38409467874648,138.88515884135234,142.02191065491579
Nested Sequence 01.mp4,59.496068276002084,97.56865665980064,159.805830082646,174.27779750559526,111.56492237158075,90.56404690905353,131.3000436454868,135.35632299890432
Nested Sequence 01.mp4,62.84416841255825,101.25098430486376,160.99322430571766,169.9082083942857,111.18085692316185,104.14326893440791,121.84089792574875,138.46031355802657
Nested Sequence 01.mp4,64.62417588794176,105.6045271922987,161.09299161770522,168.54295775729346,93.77524603070685,105.73895541185664,118.17482620494957,150.52655134460372
Nested Sequence 01.mp4,68.3535372170191,109.59052018353987,162.4694367089074,170.9769434509245,90.03855885304505,104.69870123440647,124.39726268376126,146.12692806604952
Nested Sequence 01.mp4,72.35055767742043,112.32014009556535,163.66719930396562,169.69804458598406,92.21323550919095,106.05120951529285,140.25270525771745,139.21336136425913
Nested Sequence 01.mp4,75.57786137857157,114.90962212889161,166.52427572954622,171.95520998219772,89.70317871254117,103.40730473601916,154.78887501196084,145.69648763808087
Nested Sequence 01.mp4,79.38490436856667,117.13878587771217,169.63181715156756,172.33960514450908,88.32388914150246,99.0829095126009,158.65159880306214,136.36998879183759
Nested Sequence 01.mp4,81.85605759944765,119.08539407175519,170.55194391752386,172.88985287892012,89.72807763152697,95.8455825357913,156.86925260491867,129.83944657771545
Nested Sequence 01.mp4,83.339609466588,120.49229438226476,171.3480479982618,171.93095518238366,89.67660154345047,94.00340583783643,158.8541679758539,141.25994368786735
Nested Sequence 01.mp4,83.66137417093103,121.43398128597295,167.96542975173048,171.03220251447456,89.77721334729449,89.87776914309725,162.7031252548685,143.37755646686304
